flight,date,flightO,dateO
VJ301,14-05-20,VJ301,14-05-20
VJ303,14-05-20,VJ303,14-05-20
VJ305,14-05-20,VJ305,14-05-20
VJ307,14-05-20,VJ307,14-05-20
VJ309,14-05-20,VJ309,14-05-20
VJ373,14-05-20,VJ373,14-05-20
VJ377,14-05-20,VJ377,14-05-20
VJ383,14-05-20,VJ383,14-05-20
VJ387,14-05-20,VJ387,14-05-20
VJ397,14-05-20,VJ397,14-05-20
VJ6131,14-05-20,VJ6131,14-05-20
VJ6135,14-05-20,VJ6135,14-05-20
VJ6137,14-05-20,VJ6137,14-05-20
VJ621,14-05-20,VJ621,14-05-20
VJ625,14-05-20,VJ625,14-05-20
