date,flight,error
07-11-20,CI6877.csv,Multiple flights detected.
07-11-20,VJ315.csv,Multiple flights detected.
07-11-20,VN5032.csv,Did not land at TSN.
07-11-20,YG9046.csv,Did not land.
08-11-20,5X146.csv,Did not land.
08-11-20,FX5194.csv,Did not land at TSN.
08-11-20,TK6470.csv,Did not land.
09-11-20,QH283.csv,Multiple flights detected.
09-11-20,VJ315.csv,Multiple flights detected.
09-11-20,YG9046.csv,Did not land at TSN.
10-11-20,5X146.csv,Did not land.
10-11-20,VN5780.csv,Did not land at TSN.
11-11-20,QH171.csv,Multiple flights detected.
11-11-20,VJ169.csv,Multiple flights detected.
11-11-20,VN1415.csv,Multiple flights detected.
11-11-20,VN1463.csv,Multiple flights detected.
12-11-20,VJ313.csv,Multiple flights detected.
12-11-20,VN1387.csv,Multiple flights detected.
13-11-20,EY975.csv,Multiple flights detected.
13-11-20,EY995.csv,Multiple flights detected.
13-11-20,MU7053.csv,Multiple flights detected.
13-11-20,NH833.csv,Multiple flights detected.
13-11-20,VJ151.csv,Multiple flights detected.
13-11-20,VN253.csv,Multiple flights detected.
13-11-20,VZ3970.csv,Multiple flights detected.
14-11-20,QH283.csv,Multiple flights detected.
14-11-20,VN5731.csv,Multiple flights detected.
